,0
0,10
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,7
9,5
10,4
11,2
12,4
13,3
14,6
15,0
16,7
17,6
18,1
19,2
20,9
21,10
22,10
23,10
24,11
25,6
26,10
27,6
28,12
29,3
30,5
31,12
32,17
33,12
34,15
35,13
36,23
37,17
38,11
39,14
40,23
41,12
42,26
43,19
44,27
45,44
46,35
47,44
48,44
49,42
50,50
51,44
52,67
53,83
54,88
55,87
56,75
57,89
58,78
59,91
60,101
61,94
62,102
63,121
64,125
65,139
66,121
67,123
68,132
69,154
70,129
71,136
72,164
73,210
74,242
75,220
76,245
77,236
78,198
79,192
80,208
81,217
82,223
83,210
84,264
85,277
86,227
87,231
88,236
89,210
90,213
91,204
92,206
93,208
94,197
95,206
96,197
97,152
98,168
99,148
100,123
101,147
102,121
103,98
104,102
105,110
106,94
107,73
108,63
109,64
110,53
111,53
112,48
113,44
114,48
115,32
116,27
117,27
118,24
119,11
120,19
121,10
122,12
123,5
124,16
125,11
126,12
127,8
128,7
129,3
130,1
131,2
132,6
133,3
134,1
135,1
136,2
137,2
138,2
139,0
140,2
141,1
142,1
143,1
144,0
145,1
146,1
147,0
148,0
149,1
