,0
0,0
1,4
2,2
3,8
4,12
5,15
6,19
7,41
8,42
9,52
10,68
11,74
12,87
13,142
14,173
15,275
16,375
17,493
18,593
19,674
20,815
21,852
22,843
23,780
24,775
25,614
26,556
27,423
28,378
29,280
30,233
31,179
32,118
33,84
34,53
35,50
36,33
37,34
38,20
39,15
40,7
41,5
42,5
43,3
44,0
45,0
46,0
47,0
48,0
49,3
50,1
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
