,0
0,10
1,10
2,10
3,10
4,10
5,10
6,10
7,0
8,7
9,12
10,16
11,18
12,22
13,25
14,31
15,24
16,26
17,28
18,27
19,25
20,31
21,35
22,45
23,48
24,53
25,58
26,66
27,63
28,65
29,58
30,53
31,54
32,65
33,67
34,76
35,77
36,97
37,109
38,108
39,105
40,116
41,113
42,126
43,122
44,132
45,165
46,186
47,207
48,239
49,255
50,286
51,303
52,326
53,374
54,418
55,461
56,494
57,533
58,567
59,591
60,609
61,615
62,630
63,676
64,712
65,773
66,803
67,825
68,863
69,915
70,923
71,934
72,959
73,1048
74,1167
75,1255
76,1346
77,1453
78,1515
79,1543
80,1541
81,1516
82,1519
83,1484
84,1512
85,1591
86,1626
87,1649
88,1668
89,1655
90,1658
91,1598
92,1527
93,1508
94,1474
95,1444
96,1431
97,1370
98,1334
99,1276
100,1191
101,1141
102,1056
103,957
104,907
105,849
106,795
107,745
108,661
109,604
110,559
111,510
112,448
113,398
114,373
115,342
116,305
117,279
118,250
119,213
120,188
121,150
122,130
123,108
124,97
125,84
126,85
127,74
128,71
129,62
130,58
131,44
132,39
133,30
134,23
135,17
136,16
137,17
138,17
139,11
140,10
141,10
142,10
143,9
144,7
145,6
146,7
147,5
148,4
149,4
