,0
0,7
1,12
2,16
3,18
4,22
5,25
6,31
7,31
8,31
9,32
10,29
11,29
12,34
13,41
14,45
15,55
16,59
17,59
18,68
19,72
20,75
21,68
22,63
23,65
24,71
25,77
26,82
27,89
28,100
29,114
30,120
31,122
32,128
33,128
34,139
35,145
36,149
37,176
38,200
39,230
40,251
41,281
42,305
43,330
44,370
45,409
46,462
47,505
48,536
49,583
50,611
51,658
52,692
53,703
54,717
55,751
56,801
57,851
58,894
59,926
60,957
61,1017
62,1044
63,1059
64,1098
65,1169
66,1290
67,1387
68,1500
69,1582
70,1651
71,1707
72,1751
73,1758
74,1739
75,1729
76,1748
77,1789
78,1818
79,1857
80,1885
81,1878
82,1868
83,1862
84,1804
85,1735
86,1705
87,1680
88,1641
89,1583
90,1538
91,1482
92,1399
93,1338
94,1262
95,1154
96,1059
97,1017
98,943
99,868
100,808
101,725
102,657
103,612
104,558
105,492
106,446
107,405
108,369
109,332
110,303
111,261
112,232
113,198
114,162
115,135
116,124
117,108
118,96
119,93
120,81
121,74
122,63
123,60
124,50
125,42
126,31
127,24
128,19
129,18
130,19
131,17
132,13
133,11
134,11
135,11
136,9
137,8
138,7
139,7
140,5
141,5
142,4
143,3
144,3
145,3
146,3
147,3
148,3
149,2
