,0
0,0
1,4
2,6
3,18
4,19
5,26
6,29
7,33
8,50
9,86
10,124
11,220
12,338
13,575
14,922
15,1518
16,2537
17,3725
18,5335
19,6869
20,9291
21,13457
22,18159
23,23546
24,29127
25,31778
26,33449
27,35555
28,38435
29,39412
30,35366
31,32718
32,30369
33,28207
34,25428
35,21826
36,19080
37,16265
38,13402
39,11397
40,9577
41,8041
42,6588
43,5199
44,4398
45,3749
46,3093
47,2596
48,2138
49,1771
50,1426
51,1168
52,1016
53,889
54,657
55,564
56,429
57,328
58,264
59,249
60,198
61,141
62,112
63,95
64,79
65,54
66,38
67,37
68,31
69,22
70,35
71,14
72,19
73,15
74,11
75,16
76,12
77,4
78,0
79,2
80,1
81,2
82,2
83,1
84,1
85,0
86,1
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
