,0
0,10
1,14
2,20
3,38
4,57
5,83
6,102
7,135
8,181
9,261
10,367
11,566
12,880
13,1393
14,2276
15,3673
16,6060
17,9803
18,14962
19,21240
20,29678
21,42862
22,61465
23,82935
24,106798
25,132673
26,158457
27,184485
28,208220
29,227415
30,239504
31,243273
32,241804
33,236789
34,226482
35,209861
36,188719
37,168097
38,149104
39,129847
40,111374
41,93999
42,78779
43,65412
44,54124
45,45033
46,37228
47,30497
48,24860
49,20321
50,16773
51,13541
52,10884
53,8751
54,7037
55,5803
56,4679
57,3785
58,3097
59,2538
60,2088
61,1734
62,1396
63,1150
64,930
65,781
66,626
67,519
68,423
69,330
70,261
71,206
72,166
73,139
74,117
75,108
76,91
77,79
78,69
79,58
80,42
81,33
82,25
83,19
84,17
85,8
86,9
87,8
88,10
89,8
90,8
91,7
92,7
93,6
94,8
95,10
96,10
97,13
98,14
99,14
100,12
101,10
102,6
103,6
104,2
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
