,0
0,4
1,6
2,18
3,19
4,26
5,29
6,33
7,50
8,86
9,124
10,220
11,338
12,575
13,922
14,1518
15,2537
16,3725
17,5335
18,6869
19,9291
20,13457
21,18159
22,23546
23,29127
24,31778
25,33449
26,35555
27,38435
28,39412
29,35366
30,32718
31,30369
32,28207
33,25428
34,21826
35,19080
36,16265
37,13402
38,11397
39,9577
40,8041
41,6588
42,5199
43,4398
44,3749
45,3093
46,2596
47,2138
48,1771
49,1426
50,1168
51,1016
52,889
53,657
54,564
55,429
56,328
57,264
58,249
59,198
60,141
61,112
62,95
63,79
64,54
65,38
66,37
67,31
68,22
69,35
70,14
71,19
72,15
73,11
74,16
75,12
76,4
77,0
78,2
79,1
80,2
81,2
82,1
83,1
84,0
85,1
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
